text,category,tags
"What's your favorite way to stay active?","fitness","fitness"
"Are you training for any races or competitions right now?","fitness","fitness"
"What's a fitness goal you're proud of achieving?","fitness","fitness"
"Do you prefer working out in the morning or evening?","fitness","fitness|morning"
"What's your go-to workout music?","fitness","fitness"
"If you could design the perfect home gym, what would it have?","fitness","fitness"
"What’s your favorite post-workout meal or snack?","fitness","fitness"
"Do you enjoy hiking or trail running?","fitness","fitness"
"What's the most beautiful place you've ever gone for a run or hike?","fitness","fitness"
"What's your opinion on couples who work out together?","fitness","fitness|romance"
"If we were to go on a fitness-related date, what would you want to do?","fitness","fitness|romance|dating"
"What's a sport or activity you've always wanted to try?","fitness","fitness"
